BookMakers,Competitions,Date,Time,Team_1,Team_2,W1,Draw,W2
BaltBet,World cup 2022,20.11.22,19:00,Катар, Эквадор,3.60,3.25,2.15
BaltBet,World cup 2022,21.11.22,16:00,Англия, Иран,1.31,5.00,11.50
BaltBet,World cup 2022,21.11.22,19:00,Сенегал, Нидерланды,6.00,3.70,1.62
BaltBet,World cup 2022,21.11.22,22:00,США, Уэльс,2.55,3.05,3.00
BaltBet,World cup 2022,22.11.22,13:00,Аргентина, Саудовская Аравия,1.16,7.20,19.00
BaltBet,World cup 2022,22.11.22,16:00,Дания, Тунис,1.45,4.20,7.90
BaltBet,World cup 2022,22.11.22,19:00,Мексика, Польша,2.75,3.10,2.75
BaltBet,World cup 2022,22.11.22,22:00,Франция, Австралия,1.22,6.20,13.50
BaltBet,World cup 2022,23.11.22,13:00,Марокко, Хорватия,4.60,3.30,1.87
BaltBet,World cup 2022,23.11.22,16:00,Германия, Япония,1.40,4.80,7.70
BaltBet,World cup 2022,23.11.22,19:00,Испания, Коста-Рика,1.20,6.30,17.00
BaltBet,World cup 2022,23.11.22,22:00,Бельгия, Канада,1.34,5.10,9.00
BaltBet,World cup 2022,24.11.22,13:00,Швейцария, Камерун,1.77,3.45,5.10
BaltBet,World cup 2022,24.11.22,16:00,Уругвай, Южная Корея,1.77,3.45,5.00
BaltBet,World cup 2022,24.11.22,19:00,Португалия, Гана,1.45,4.20,8.30
BaltBet,World cup 2022,24.11.22,22:00,Бразилия, Сербия,1.46,4.40,7.20
BaltBet,World cup 2022,25.11.22,13:00,Уэльс, Иран,2.20,3.15,3.60
BaltBet,World cup 2022,25.11.22,16:00,Катар, Сенегал,3.70,3.25,2.10
BaltBet,World cup 2022,25.11.22,19:00,Нидерланды, Эквадор,1.64,3.90,5.30
BaltBet,World cup 2022,25.11.22,22:00,Англия, США,1.65,3.80,5.40
BaltBet,World cup 2022,26.11.22,13:00,Тунис, Австралия,2.90,3.00,2.70
BaltBet,World cup 2022,26.11.22,16:00,Польша, Саудовская Аравия,1.65,3.80,5.50
BaltBet,World cup 2022,26.11.22,19:00,Франция, Дания,1.95,3.35,4.10
BaltBet,World cup 2022,26.11.22,22:00,Аргентина, Мексика,1.60,3.80,6.10
BaltBet,World cup 2022,27.11.22,13:00,Япония, Коста-Рика,1.90,3.35,4.40
BaltBet,World cup 2022,27.11.22,16:00,Бельгия, Марокко,1.52,4.20,6.30
BaltBet,World cup 2022,27.11.22,19:00,Хорватия, Канада,1.80,3.60,4.50
BaltBet,World cup 2022,27.11.22,22:00,Испания, Германия,2.55,3.35,2.75
BaltBet,World cup 2022,28.11.22,13:00,Камерун, Сербия,4.20,3.30,1.95
BaltBet,World cup 2022,28.11.22,16:00,Южная Корея, Гана,2.65,2.95,3.00
BaltBet,World cup 2022,28.11.22,19:00,Бразилия, Швейцария,1.50,4.20,6.70
BaltBet,World cup 2022,28.11.22,22:00,Португалия, Уругвай,2.10,3.30,3.70
BaltBet,World cup 2022,29.11.22,18:00,Эквадор, Сенегал,2.90,3.15,2.55
BaltBet,World cup 2022,29.11.22,18:00,Нидерланды, Катар,1.33,5.30,9.00
BaltBet,World cup 2022,29.11.22,22:00,Уэльс, Англия,6.10,3.90,1.58
BaltBet,World cup 2022,29.11.22,22:00,Иран, США,3.45,3.40,2.15
BaltBet,World cup 2022,30.11.22,18:00,Австралия, Дания,6.40,3.70,1.60
BaltBet,World cup 2022,30.11.22,18:00,Тунис, Франция,14.00,5.70,1.24
BaltBet,World cup 2022,30.11.22,22:00,Саудовская Аравия, Мексика,6.30,4.10,1.55
BaltBet,World cup 2022,30.11.22,22:00,Польша, Аргентина,4.80,4.00,1.67
BaltBet,World cup 2022,01.12.22,18:00,Хорватия, Бельгия,3.90,3.60,1.93
BaltBet,World cup 2022,01.12.22,18:00,Канада, Марокко,3.15,3.35,2.30
BaltBet,World cup 2022,01.12.22,22:00,Япония, Испания,9.50,5.40,1.31
BaltBet,World cup 2022,01.12.22,22:00,Коста-Рика, Германия,11.00,5.60,1.28
BaltBet,World cup 2022,02.12.22,18:00,Гана, Уругвай,4.80,3.60,1.77
BaltBet,World cup 2022,02.12.22,18:00,Южная Корея, Португалия,9.50,4.90,1.35
BaltBet,World cup 2022,02.12.22,22:00,Сербия, Швейцария,2.75,3.35,2.55
BaltBet,World cup 2022,02.12.22,22:00,Камерун, Бразилия,9.50,5.30,1.32
