BookMakers,Competitions,Date,Time,Team_1,Team_2,W1,Draw,W2
OlympBet,World cup 2022,20.11,19:00,Катар,Эквадор,3.57,3.25,2.17
OlympBet,World cup 2022,21.11,16:00,Англия,Иран,1.32,4.87,11.40
OlympBet,World cup 2022,21.11,19:00,Сенегал,Нидерланды,6.30,3.90,1.57
OlympBet,World cup 2022,21.11,22:00,США,Уэльс,2.59,3.09,2.94
OlympBet,World cup 2022,22.11,13:00,Аргентина,Саудовская Аравия,1.16,7.50,19.00
OlympBet,World cup 2022,22.11,16:00,Дания,Тунис,1.46,4.17,8.00
OlympBet,World cup 2022,22.11,19:00,Мексика,Польша,2.73,3.14,2.74
OlympBet,World cup 2022,22.11,22:00,Франция,Австралия,1.23,6.30,13.40
OlympBet,World cup 2022,23.11,13:00,Марокко,Хорватия,4.58,3.34,1.88
OlympBet,World cup 2022,23.11,16:00,Германия,Япония,1.43,4.58,7.60
OlympBet,World cup 2022,23.11,19:00,Испания,Коста-Рика,1.20,6.30,16.30
OlympBet,World cup 2022,23.11,22:00,Бельгия,Канада,1.36,4.94,8.90
OlympBet,World cup 2022,24.11,13:00,Швейцария,Камерун,1.73,3.50,5.30
OlympBet,World cup 2022,24.11,16:00,Уругвай,Республика Корея,1.79,3.51,4.87
OlympBet,World cup 2022,24.11,19:00,Португалия,Гана,1.40,4.40,9.10
OlympBet,World cup 2022,24.11,22:00,Бразилия,Сербия,1.46,4.37,7.40
OlympBet,World cup 2022,25.11,13:00,Уэльс,Иран,2.23,3.07,3.62
OlympBet,World cup 2022,25.11,16:00,Катар,Сенегал,3.75,3.19,2.13
OlympBet,World cup 2022,25.11,19:00,Нидерланды,Эквадор,1.63,3.95,5.40
OlympBet,World cup 2022,25.11,22:00,Англия,США,1.66,3.85,5.30
OlympBet,World cup 2022,26.11,13:00,Тунис,Австралия,2.82,3.03,2.74
OlympBet,World cup 2022,26.11,16:00,Польша,Саудовская Аравия,1.63,3.80,5.80
OlympBet,World cup 2022,26.11,19:00,Франция,Дания,1.99,3.34,4.04
OlympBet,World cup 2022,26.11,22:00,Аргентина,Мексика,1.57,3.88,6.40
OlympBet,World cup 2022,27.11,13:00,Япония,Коста-Рика,1.87,3.35,4.64
OlympBet,World cup 2022,27.11,16:00,Бельгия,Марокко,1.54,4.18,6.20
OlympBet,World cup 2022,27.11,19:00,Хорватия,Канада,1.78,3.71,4.55
OlympBet,World cup 2022,27.11,22:00,Испания,Германия,2.55,3.36,2.78
OlympBet,World cup 2022,28.11,13:00,Камерун,Сербия,4.60,3.40,1.86
OlympBet,World cup 2022,28.11,16:00,Республика Корея,Гана,2.66,2.99,2.94
OlympBet,World cup 2022,28.11,19:00,Бразилия,Швейцария,1.50,4.15,7.00
OlympBet,World cup 2022,28.11,22:00,Португалия,Уругвай,2.05,3.38,3.76
OlympBet,World cup 2022,29.11,18:00,Нидерланды,Катар,1.34,5.00,9.50
OlympBet,World cup 2022,29.11,18:00,Эквадор,Сенегал,2.93,3.20,2.53
OlympBet,World cup 2022,29.11,22:00,Иран,США,3.53,3.43,2.10
OlympBet,World cup 2022,29.11,22:00,Уэльс,Англия,6.00,4.00,1.58
OlympBet,World cup 2022,30.11,18:00,Австралия,Дания,6.60,3.73,1.59
OlympBet,World cup 2022,30.11,18:00,Тунис,Франция,13.60,5.50,1.26
OlympBet,World cup 2022,30.11,22:00,Польша,Аргентина,4.84,4.04,1.68
OlympBet,World cup 2022,30.11,22:00,Саудовская Аравия,Мексика,6.50,4.05,1.54
OlympBet,World cup 2022,01.12,18:00,Канада,Марокко,3.24,3.41,2.23
OlympBet,World cup 2022,01.12,18:00,Хорватия,Бельгия,4.07,3.72,1.87
OlympBet,World cup 2022,01.12,22:00,Коста-Рика,Германия,12.50,5.50,1.27
OlympBet,World cup 2022,01.12,22:00,Япония,Испания,9.30,5.50,1.31
OlympBet,World cup 2022,02.12,18:00,Гана,Уругвай,4.85,3.64,1.76
OlympBet,World cup 2022,02.12,18:00,Республика Корея,Португалия,9.30,4.98,1.35
OlympBet,World cup 2022,02.12,22:00,Камерун,Бразилия,10.50,5.10,1.32
OlympBet,World cup 2022,02.12,22:00,Сербия,Швейцария,2.81,3.34,2.53
