BookMakers,Competitions,Date,Time,Team_1,Team_2,W1,Draw,W2
BetCity,World cup 2022,20 ноября, 19:00,Катар, Эквадор,3.65,3.25,2.15
BetCity,World cup 2022,21 ноября, 16:00,Англия, Иран,1.30,4.90,12.50
BetCity,World cup 2022,21 ноября, 19:00,Сенегал, Нидерланды,6.60,3.80,1.58
BetCity,World cup 2022,21 ноября, 22:00,США, Уэльс,2.60,3.05,3.00
BetCity,World cup 2022,22 ноября, 13:00,Аргентина, Саудовская Аравия,1.16,7.40,21.00
BetCity,World cup 2022,22 ноября, 16:00,Дания, Тунис,1.45,4.20,8.00
BetCity,World cup 2022,22 ноября, 19:00,Мексика, Польша,2.75,3.15,2.75
BetCity,World cup 2022,22 ноября, 22:00,Франция, Австралия,1.22,6.30,15.00
BetCity,World cup 2022,23 ноября, 13:00,Марокко, Хорватия,4.70,3.30,1.88
BetCity,World cup 2022,23 ноября, 16:00,Германия, Япония,1.43,4.70,7.50
BetCity,World cup 2022,23 ноября, 19:00,Испания, Коста-Рика,1.20,6.30,17.00
BetCity,World cup 2022,23 ноября, 22:00,Бельгия, Канада,1.37,4.90,9.00
BetCity,World cup 2022,24 ноября, 13:00,Швейцария, Камерун,1.72,3.50,5.50
BetCity,World cup 2022,24 ноября, 16:00,Уругвай, Южная Корея,1.75,3.55,5.30
BetCity,World cup 2022,24 ноября, 19:00,Португалия, Гана,1.40,4.40,9.00
BetCity,World cup 2022,24 ноября, 22:00,Бразилия, Сербия,1.45,4.40,7.60
BetCity,World cup 2022,25 ноября, 13:00,Уэльс, Иран,2.25,3.05,3.65
BetCity,World cup 2022,25 ноября, 16:00,Катар, Сенегал,3.80,3.15,2.15
BetCity,World cup 2022,25 ноября, 19:00,Нидерланды, Эквадор,1.65,3.95,5.40
BetCity,World cup 2022,25 ноября, 22:00,Англия, США,1.65,3.90,5.60
BetCity,World cup 2022,26 ноября, 13:00,Тунис, Австралия,2.85,3.00,2.75
BetCity,World cup 2022,26 ноября, 16:00,Польша, Саудовская Аравия,1.63,3.85,5.70
BetCity,World cup 2022,26 ноября, 19:00,Франция, Дания,2.00,3.35,3.95
BetCity,World cup 2022,26 ноября, 22:00,Аргентина, Мексика,1.57,3.90,6.40
BetCity,World cup 2022,27 ноября, 13:00,Япония, Коста-Рика,1.85,3.35,4.70
BetCity,World cup 2022,27 ноября, 16:00,Бельгия, Марокко,1.53,4.20,6.40
BetCity,World cup 2022,27 ноября, 19:00,Хорватия, Канада,1.77,3.80,4.60
BetCity,World cup 2022,27 ноября, 22:00,Испания, Германия,2.55,3.35,2.80
BetCity,World cup 2022,28 ноября, 13:00,Камерун, Сербия,4.40,3.40,1.90
BetCity,World cup 2022,28 ноября, 16:00,Южная Корея, Гана,2.70,2.95,2.95
BetCity,World cup 2022,28 ноября, 19:00,Бразилия, Швейцария,1.50,4.20,7.20
BetCity,World cup 2022,28 ноября, 22:00,Португалия, Уругвай,2.08,3.35,3.70
BetCity,World cup 2022,29 ноября, 18:00,Эквадор, Сенегал,2.95,3.20,2.55
BetCity,World cup 2022,29 ноября, 18:00,Нидерланды, Катар,1.35,5.10,9.50
BetCity,World cup 2022,29 ноября, 22:00,Уэльс, Англия,6.00,4.05,1.58
BetCity,World cup 2022,29 ноября, 22:00,Иран, США,3.55,3.45,2.10
BetCity,World cup 2022,30 ноября, 18:00,Австралия, Дания,6.70,3.70,1.60
BetCity,World cup 2022,30 ноября, 18:00,Тунис, Франция,14.00,5.60,1.25
BetCity,World cup 2022,30 ноября, 22:00,Польша, Аргентина,4.80,4.10,1.68
BetCity,World cup 2022,30 ноября, 22:00,Саудовская Аравия, Мексика,6.50,4.10,1.55
BetCity,World cup 2022,1 декабря, 18:00,Канада, Марокко,3.25,3.30,2.30
BetCity,World cup 2022,1 декабря, 18:00,Хорватия, Бельгия,4.00,3.65,1.90
BetCity,World cup 2022,1 декабря, 22:00,Коста-Рика, Германия,11.00,5.40,1.30
BetCity,World cup 2022,1 декабря, 22:00,Япония, Испания,10.00,5.40,1.32
BetCity,World cup 2022,2 декабря, 18:00,Гана, Уругвай,4.80,3.60,1.78
BetCity,World cup 2022,2 декабря, 18:00,Южная Корея, Португалия,9.00,4.70,1.38
BetCity,World cup 2022,2 декабря, 22:00,Камерун, Бразилия,9.00,5.30,1.35
BetCity,World cup 2022,2 декабря, 22:00,Сербия, Швейцария,2.80,3.45,2.50
