BookMakers,Competitions,Date,Time,Team_1,Team_2,W1,Draw,W2
SportBet,World cup 2022,20.11,17:00,Катар,Эквадор,3.7,3.25,2.13
SportBet,World cup 2022,21.11,14:00,Англия,Иран,1.3,4.9,12.5
SportBet,World cup 2022,21.11,17:00,Сенегал,Нидерланды,6.6,3.8,1.58
SportBet,World cup 2022,21.11,20:00,США,Уэльс,2.6,3.05,3
SportBet,World cup 2022,22.11,11:00,Аргентина,Саудовская Аравия,1.16,7.4,21
SportBet,World cup 2022,22.11,14:00,Дания,Тунис,1.45,4.2,8
SportBet,World cup 2022,22.11,17:00,Мексика,Польша,2.75,3.15,2.75
SportBet,World cup 2022,22.11,20:00,Франция,Австралия,1.22,6.3,15
SportBet,World cup 2022,23.11,11:00,Марокко,Хорватия,4.7,3.3,1.88
SportBet,World cup 2022,23.11,14:00,Германия,Япония,1.43,4.7,7.5
SportBet,World cup 2022,23.11,17:00,Испания,Коста-Рика,1.2,6.3,17
SportBet,World cup 2022,23.11,20:00,Бельгия,Канада,1.37,4.9,9
SportBet,World cup 2022,24.11,11:00,Швейцария,Камерун,1.72,3.55,5.5
SportBet,World cup 2022,24.11,14:00,Уругвай,Южная Корея,1.75,3.55,5.3
SportBet,World cup 2022,24.11,17:00,Португалия,Гана,1.4,4.4,9
SportBet,World cup 2022,24.11,20:00,Бразилия,Сербия,1.45,4.4,7.6
SportBet,World cup 2022,25.11,11:00,Уэльс,Иран,2.25,3.05,3.65
SportBet,World cup 2022,25.11,14:00,Катар,Сенегал,3.8,3.15,2.15
SportBet,World cup 2022,25.11,17:00,Нидерланды,Эквадор,1.65,3.95,5.4
SportBet,World cup 2022,25.11,20:00,Англия,США,1.65,3.9,5.6
