BookMakers,Competitions,Date,Time,Team_1,Team_2,W1,Draw,W2
ZenitBet,World cup 2022, 20/11,19:00,Катар,Эквадор,"3,70"," 3,30"," 2,22"
ZenitBet,World cup 2022, 21/11,16:00,Англия,Иран,"1,33"," 5,10"," 13,0"
ZenitBet,World cup 2022, 21/11,19:00,Сенегал,Нидерланды,"6,50"," 4,00"," 1,62"
ZenitBet,World cup 2022, 21/11,22:00,США,Уэльс,"2,65"," 3,10"," 3,05"
ZenitBet,World cup 2022, 22/11,13:00,Аргентина,Саудовская Аравия,"1,16"," 8,00"," 25,0"
ZenitBet,World cup 2022, 22/11,16:00,Дания,Тунис,"1,47"," 4,40"," 8,50"
ZenitBet,World cup 2022, 22/11,19:00,Мексика,Польша,"2,90"," 3,10"," 2,75"
ZenitBet,World cup 2022, 22/11,22:00,Франция,Австралия,"1,23"," 6,40"," 17,0"
ZenitBet,World cup 2022, 23/11,13:00,Марокко,Хорватия,"4,60"," 3,60"," 1,90"
ZenitBet,World cup 2022, 23/11,16:00,Германия,Япония,"1,47"," 4,80"," 7,30"
ZenitBet,World cup 2022, 23/11,19:00,Испания,Коста-Рика,"1,22"," 6,40"," 20,0"
ZenitBet,World cup 2022, 23/11,22:00,Бельгия,Канада,"1,40"," 5,20"," 8,50"
ZenitBet,World cup 2022, 24/11,13:00,Швейцария,Камерун,"1,72"," 3,70"," 5,70"
ZenitBet,World cup 2022, 24/11,16:00,Уругвай,Южная Корея,"1,78"," 3,60"," 5,40"
ZenitBet,World cup 2022, 24/11,19:00,Португалия,Гана,"1,45"," 4,50"," 9,00"
ZenitBet,World cup 2022, 24/11,22:00,Бразилия,Сербия,"1,47"," 4,60"," 7,80"
ZenitBet,World cup 2022, 25/11,13:00,Уэльс,Иран,"2,30"," 3,10"," 3,70"
ZenitBet,World cup 2022, 25/11,16:00,Катар,Сенегал,"3,80"," 3,30"," 2,20"
ZenitBet,World cup 2022, 25/11,19:00,Нидерланды,Эквадор,"1,65"," 4,20"," 5,50"
ZenitBet,World cup 2022, 25/11,22:00,Англия,США,"1,67"," 4,10"," 5,60"
ZenitBet,World cup 2022, 26/11,13:00,Тунис,Австралия,"3,00"," 3,05"," 2,75"
ZenitBet,World cup 2022, 26/11,16:00,Польша,Саудовская Аравия,"1,65"," 4,00"," 5,90"
ZenitBet,World cup 2022, 26/11,19:00,Франция,Дания,"2,03"," 3,50"," 4,10"
ZenitBet,World cup 2022, 26/11,22:00,Аргентина,Мексика,"1,60"," 4,10"," 6,40"
ZenitBet,World cup 2022, 27/11,13:00,Япония,Коста-Рика,"1,90"," 3,60"," 4,60"
ZenitBet,World cup 2022, 27/11,16:00,Бельгия,Марокко,"1,57"," 4,30"," 6,50"
ZenitBet,World cup 2022, 27/11,19:00,Хорватия,Канада,"1,80"," 3,80"," 4,80"
ZenitBet,World cup 2022, 27/11,22:00,Испания,Германия,"2,65"," 3,30"," 2,90"
ZenitBet,World cup 2022, 28/11,13:00,Камерун,Сербия,"4,50"," 3,60"," 1,90"
ZenitBet,World cup 2022, 28/11,16:00,Южная Корея,Гана,"2,65"," 3,10"," 3,05"
ZenitBet,World cup 2022, 28/11,19:00,Бразилия,Швейцария,"1,50"," 4,50"," 7,30"
ZenitBet,World cup 2022, 28/11,22:00,Португалия,Уругвай,"2,12"," 3,40"," 3,80"
ZenitBet,World cup 2022, 29/11,18:00,Нидерланды,Катар,"1,35"," 5,20"," 11,0"
ZenitBet,World cup 2022, 29/11,18:00,Эквадор,Сенегал,"3,10"," 3,20"," 2,55"
ZenitBet,World cup 2022, 29/11,22:00,Иран,США,"3,60"," 3,50"," 2,18"
ZenitBet,World cup 2022, 29/11,22:00,Уэльс,Англия,"6,10"," 4,10"," 1,62"
ZenitBet,World cup 2022, 30/11,18:00,Австралия,Дания,"6,70"," 3,90"," 1,62"
ZenitBet,World cup 2022, 30/11,18:00,Тунис,Франция,"15,00"," 5,60"," 1,28"
ZenitBet,World cup 2022, 30/11,22:00,Польша,Аргентина,"5,20"," 4,10"," 1,70"
ZenitBet,World cup 2022, 30/11,22:00,Саудовская Аравия,Мексика,"6,20"," 4,40"," 1,58"
ZenitBet,World cup 2022, 01/12,18:00,Канада,Марокко,"3,40"," 3,20"," 2,40"
ZenitBet,World cup 2022, 01/12,18:00,Хорватия,Бельгия,"4,10"," 3,70"," 1,95"
ZenitBet,World cup 2022, 01/12,22:00,Коста-Рика,Германия,"12,00"," 5,40"," 1,32"
ZenitBet,World cup 2022, 01/12,22:00,Япония,Испания,"10,00"," 5,40"," 1,35"
ZenitBet,World cup 2022, 02/12,18:00,Гана,Уругвай,"4,80"," 3,70"," 1,83"
ZenitBet,World cup 2022, 02/12,18:00,Южная Корея,Португалия,"11,50"," 4,80"," 1,37"
ZenitBet,World cup 2022, 02/12,22:00,Камерун,Бразилия,"9,70"," 5,20"," 1,37"
ZenitBet,World cup 2022, 02/12,22:00,Сербия,Швейцария,"2,90"," 3,60"," 2,50"
